21_JUMP_STREET.srt 	21_JUMP_STREET_DVS214 	00:36:28,00 --> 00:36:37,50 	as the undercover cops shake their heads, a rapid series of explosive and disturbing images fill our view.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS378 	01:03:54,00 --> 01:03:58,50 	he shakes her hand.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS547 	01:24:33,00 --> 01:24:38,50 	she leaves and he shakes his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS672 	01:41:45,00 --> 01:41:51,50 	shaking it, someone grins.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS172 	00:45:02,00 --> 00:45:07,50 	he shakes an empty bottle.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS295 	01:07:14,00 --> 01:07:21,50 	he pours the rubbing alcohol on his neck wound, then grimaces and shakes his head.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS127 	01:06:01,00 --> 01:06:09,50 	grimacing he shakes his head.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS211 	01:42:28,00 --> 01:42:32,50 	he shakes his head.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS185 	00:32:12,00 --> 00:32:19,50 	he daps and slaps with a couple of guys he meets on his sunny walk to work, shakes a lot of hands, and is wreathed in smiles.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS239 	00:19:45,00 --> 00:19:50,50 	glaring, someone shakes his head.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS414 	00:39:49,00 --> 00:39:54,50 	someone heaves a regretful sigh and shakes his head as someone eavesdrops unnoticed.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS632 	01:05:36,00 --> 01:05:41,50 	he opens his mouth and shakes it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS638 	01:06:08,00 --> 01:06:14,50 	the two men shake hands.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS780 	01:17:59,00 --> 01:18:04,50 	someone smirks at someone as someone shakes his head.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS22 	00:04:07,00 --> 00:04:15,50 	shaking the bearded doctor's hand, someone leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS45 	00:12:54,00 --> 00:12:58,50 	someone shakes it.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS50 	00:15:11,00 --> 00:15:16,50 	someone looks away, shakes his head then faces his mother.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS132 	00:28:39,00 --> 00:28:46,50 	someone shakes his head.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS181 	00:34:16,00 --> 00:34:22,50 	at the office, someone shakes his legs and dances in place.
