21_JUMP_STREET.srt 	21_JUMP_STREET_DVS373 	01:01:55,00 --> 01:02:01,50 	someone whips throwing stars at a zod poster.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS474 	01:17:37,00 --> 01:17:43,50 	he throws glitter in someone's eyes.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS604 	01:33:24,00 --> 01:33:29,50 	puckering his lips squeamishly, he throws the gun instead.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS57 	00:12:18,00 --> 00:12:22,50 	he throws the bottle cap at someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS63 	00:14:59,00 --> 00:15:04,50 	he briefly gets the upper hand, but someone throws him off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS253 	01:00:11,00 --> 01:00:16,50 	he hangs up and throws the phone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS128 	01:06:08,00 --> 01:06:12,50 	he throws another condom away.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS357 	01:05:01,00 --> 01:05:06,50 	someone throws her bouquet over her head.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS421 	01:14:05,00 --> 01:14:10,50 	someone throws the card on the boardroom table.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS703 	01:11:50,00 --> 01:11:57,50 	as she gazes into his eyes, someone flashes a loving smile and throws her arms around him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS330 	00:58:54,00 --> 00:59:00,50 	later someone throws loaves of bread out of his car window as he drives.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS387 	01:08:33,00 --> 01:08:40,50 	someone throws someone into a wall, then limps away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS99 	00:10:53,00 --> 00:11:08,50 	the vampire crashes through the dock then gets thrown up along the warehouse shattering the wall.
