0002_As_Good_As_It_Gets_01.49.36.510-01.49.42.488 	Summoning remarkable strength, he rips a piece from the cast, freeing his hand.
0009_Forrest_Gump_00.06.13.502-00.06.20.391 	Mrs. Gump bends down and tries to free Forrest.
0009_Forrest_Gump_00.38.00.052-00.38.00.211 	Jenny struggles and frees herself from Forrest.
0016_O_Brother_Where_Art_Thou_01.39.09.068-01.39.13.904 	The coffin floats downstream for a beat and then Everett pops out of the water next to it, gasping for air, shaking his head clear of water, and moving his shoulders to finish freeing himself from the rope round his wrists.
0017_Pianist_00.32.34.666-00.32.38.996 	Szpilman manages to free himself and runs on.
0020_Raising_Arizona_01.08.55.604-01.08.59.009 	Hands free now, Gale reaches for the back door.
0020_Raising_Arizona_01.22.09.928-01.22.10.246 	Trying to drop the shotguns to free his hands.
0020_Raising_Arizona_01.22.12.346-01.22.13.229 	Finally freeing his hands.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.43.17.360-01.43.24.630 	FRODO hacks at the WEB and with a last desperate LUNGE, frees himself.
0028_The_Crying_Game_00.36.59.080-00.37.02.327 	Jody suddenly sprints, and, loosening the ties on his hands, then freeing them, he is off like a hare.
0029_The_Graduate_01.02.27.620-01.02.28.425 	He opens his hands against her face, freeing her hands.
0032_The_Princess_Bride_00.14.07.929-00.14.09.203 	He drops back to the boat, gives the rope a freeing swing and.
0050_Indiana_Jones_and_the_last_crusade_01.00.36.412-01.00.40.235 	Indy struggles to free his hands.
0050_Indiana_Jones_and_the_last_crusade_01.36.09.103-01.36.17.622 	Indy finally frees himself of Vogel's grasp, twisting his arm painfully away from Indy's neck, then landing a hard blow to Vogel's head.
1009_Spider-Man3_01.55.42.770-01.55.46.942 	peter frees himself and punctures venom.
1009_Spider-Man3_02.04.33.904-02.04.36.456 	he frees one hand and grabs a sharp spear of metal as venom leaps at him.
1010_TITANIC_02.33.45.015-02.33.48.623 	fabrizio slices through the rope with his pocket knife, partially freeing the boat, but causing it to tip onto its side.
1012_Unbreakable_01.28.34.139-01.28.40.806 	darkness and light alternate under the water as david struggles to free himself from the embrace of the black cover.
1024_Identity_Thief_00.31.40.610-00.31.41.365 	she frees herself.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.26.44.741-01.26.55.408 	in the ruins, moran frees moriarty from the rubble.
1035_The_Adjustment_Bureau_00.25.20.210-00.25.22.658 	david bolts and frees his wrists.
1047_Defiance_00.24.37.997-00.24.39.954 	he frees himslef from his brother's grasp.
1049_Harry_Potter_and_the_chamber_of_secrets_00.16.04.840-00.16.10.802 	he struggles desperately to free himself from its ghastly grip.
1051_Harry_Potter_and_the_goblet_of_fire_01.01.27.984-01.01.31.479 	harry frees the broomstick as the dragon lashes out, smashing the window to pieces.
1051_Harry_Potter_and_the_goblet_of_fire_01.35.00.854-01.35.06.137 	a transparent, bubble of air over his mouth and nose, he frees cho with his wand.
1052_Harry_Potter_and_the_order_of_phoenix_01.57.08.853-01.57.17.706 	struggling to free himself, harry's grief turns to rage when he sees bellatrix lestrange's evil smile.
2051_Harry_Potter_and_the_goblet_of_fire_01.35.16.532-01.35.40.501 	harry sets about freeing ron and hermione but vicious merpeople appear.
2051_Harry_Potter_and_the_goblet_of_fire_01.35.44.549-01.36.04.750 	harry frees ron.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.13.44.667-00.13.46.738 	harry glances warily from the steaming tureen of green to tom, who works a grimy thumb into his gum, frees a walnut sliver.
